Student_ID,Q1_Matric_Subject,Q2_Intermediate_Program,Q3_Grade_Bucket,Q4_Math_Aptitude,Q5_Verbal_Skills,Q6_Creative_Interest,Q7_Tech_Orientation,Q8_Study_Duration,Q9_Work_Environment,Q10_Career_Track
269,Science with Computer Science,FSc Pre-Engineering,Above 80% (A-1 Grade),4,2,2,4,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
270,Arts / Humanities,ICS (Intermediate in Computer Science),60% – 70% (B Grade),2,1,4,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
271,Arts / Humanities,FA / Humanities,Above 80% (A-1 Grade),2,5,5,1,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
272,Arts / Humanities,I.Com (Commerce),70% – 80% (A Grade),3,4,3,3,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
273,Arts / Humanities,FA / Humanities,60% – 70% (B Grade),2,5,3,1,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
274,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,5,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
275,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),5,3,3,3,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
276,Science with Biology,FA / Humanities,70% – 80% (A Grade),1,5,4,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
277,Arts / Humanities,FA / Humanities,60% – 70% (B Grade),2,5,4,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
278,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),4,4,3,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
279,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,2,3,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
280,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),2,5,2,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
281,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),5,4,3,3,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
282,Science with Computer Science,I.Com (Commerce),Below 60% (C Grade or lower),3,2,3,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
283,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),4,3,3,5,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
284,Science with Biology,FA / Humanities,70% – 80% (A Grade),2,5,4,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
285,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),5,3,4,5,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
286,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,2,1,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
287,Science with Biology,I.Com (Commerce),70% – 80% (A Grade),2,4,3,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
288,Science with Biology,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,2,2,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
289,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,4,3,4,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
290,Arts / Humanities,FA / Humanities,60% – 70% (B Grade),2,5,3,2,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
291,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,4,3,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
292,Science with Computer Science,FA / Humanities,60% – 70% (B Grade),3,3,3,5,Short term (1–2 years diploma/freelance tracks),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Vocational & Technical
293,Arts / Humanities,FA / Humanities,Below 60% (C Grade or lower),2,3,3,4,Short term (1–2 years diploma/freelance tracks),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Vocational & Technical
294,Science with Biology,ICS (Intermediate in Computer Science),70% – 80% (A Grade),3,4,3,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
295,Arts / Humanities,ICS (Intermediate in Computer Science),60% – 70% (B Grade),2,2,2,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
296,Arts / Humanities,FA / Humanities,Below 60% (C Grade or lower),3,1,4,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
297,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),3,4,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
298,Science with Biology,FA / Humanities,70% – 80% (A Grade),1,5,3,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
299,Arts / Humanities,FA / Humanities,Above 80% (A-1 Grade),2,4,2,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
300,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),2,5,4,2,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
301,Science with Biology,FA / Humanities,70% – 80% (A Grade),2,5,4,2,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
302,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),3,2,3,2,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
303,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,4,3,4,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
304,Arts / Humanities,FA / Humanities,Above 80% (A-1 Grade),2,5,4,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
305,Arts / Humanities,I.Com (Commerce),Above 80% (A-1 Grade),1,5,5,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
306,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),4,3,3,4,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Engineering & Architecture
307,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),4,3,2,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
308,Science with Computer Science,ICS (Intermediate in Computer Science),Below 60% (C Grade or lower),2,2,3,3,Short term (1–2 years diploma/freelance tracks),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Vocational & Technical
309,Science with Computer Science,FSc Pre-Engineering,Above 80% (A-1 Grade),5,3,4,4,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
310,Arts / Humanities,ICS (Intermediate in Computer Science),Below 60% (C Grade or lower),2,4,4,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
311,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),5,3,4,4,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
312,Science with Biology,FSc Pre-Engineering,Above 80% (A-1 Grade),5,3,3,3,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
313,Arts / Humanities,FA / Humanities,Above 80% (A-1 Grade),1,5,3,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
314,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),5,3,2,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Engineering & Architecture
315,Science with Computer Science,FSc Pre-Engineering,60% – 70% (B Grade),5,3,2,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
316,Arts / Humanities,FA / Humanities,60% – 70% (B Grade),2,5,4,3,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
317,Science with Computer Science,FSc Pre-Engineering,Above 80% (A-1 Grade),3,4,3,3,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
318,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),4,3,3,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
319,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),5,4,3,5,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
320,Science with Biology,FA / Humanities,Below 60% (C Grade or lower),4,3,4,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
321,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),4,5,2,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
322,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),5,3,3,5,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
323,Science with Computer Science,I.Com (Commerce),70% – 80% (A Grade),1,5,3,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
324,Science with Biology,FA / Humanities,70% – 80% (A Grade),2,4,1,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
325,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),5,2,2,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
326,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),2,3,2,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
327,Arts / Humanities,I.Com (Commerce),70% – 80% (A Grade),2,5,2,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
328,Science with Biology,ICS (Intermediate in Computer Science),60% – 70% (B Grade),4,1,4,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
329,Science with Biology,ICS (Intermediate in Computer Science),Above 80% (A-1 Grade),5,4,3,4,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
330,Science with Biology,I.Com (Commerce),Below 60% (C Grade or lower),3,2,3,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
331,Arts / Humanities,I.Com (Commerce),Below 60% (C Grade or lower),2,2,4,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
332,Science with Biology,ICS (Intermediate in Computer Science),70% – 80% (A Grade),2,2,3,4,Short term (1–2 years diploma/freelance tracks),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Vocational & Technical
333,Science with Biology,FA / Humanities,60% – 70% (B Grade),2,5,3,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
334,Science with Computer Science,ICS (Intermediate in Computer Science),Above 80% (A-1 Grade),5,3,4,5,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
335,Science with Computer Science,ICS (Intermediate in Computer Science),60% – 70% (B Grade),5,3,1,4,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
336,Science with Biology,FA / Humanities,Below 60% (C Grade or lower),3,2,4,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
337,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),1,5,5,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
338,Science with Biology,FSc Pre-Engineering,Above 80% (A-1 Grade),5,2,3,4,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
339,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,5,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
340,Science with Biology,ICS (Intermediate in Computer Science),60% – 70% (B Grade),2,5,4,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
341,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),5,3,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
342,Arts / Humanities,ICS (Intermediate in Computer Science),70% – 80% (A Grade),1,5,3,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
343,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),2,5,2,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
344,Science with Biology,FSc Pre-Engineering,Above 80% (A-1 Grade),3,3,3,4,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Engineering & Architecture
345,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),5,4,3,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
346,Science with Biology,I.Com (Commerce),70% – 80% (A Grade),2,5,2,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
347,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),2,5,3,3,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
348,Science with Computer Science,I.Com (Commerce),70% – 80% (A Grade),2,5,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
349,Science with Computer Science,FSc Pre-Engineering,60% – 70% (B Grade),4,2,2,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
350,Arts / Humanities,FA / Humanities,70% – 80% (A Grade),1,4,3,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
351,Science with Biology,FSc Pre-Engineering,Above 80% (A-1 Grade),5,2,3,4,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
352,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),4,3,3,5,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
353,Arts / Humanities,FA / Humanities,Above 80% (A-1 Grade),2,5,4,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
354,Science with Biology,FA / Humanities,70% – 80% (A Grade),1,5,4,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
355,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),4,3,2,4,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
356,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),5,2,2,5,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
357,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,4,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
358,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),3,4,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
359,Science with Computer Science,I.Com (Commerce),70% – 80% (A Grade),2,5,4,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
360,Science with Biology,FA / Humanities,70% – 80% (A Grade),1,5,3,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
361,Science with Computer Science,FSc Pre-Engineering,60% – 70% (B Grade),5,3,4,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
362,Arts / Humanities,FA / Humanities,Above 80% (A-1 Grade),3,4,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
363,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),3,4,1,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
364,Science with Biology,I.Com (Commerce),70% – 80% (A Grade),2,3,2,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
365,Science with Biology,FSc Pre-Engineering,Above 80% (A-1 Grade),4,1,3,2,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
366,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,4,2,4,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
367,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),3,3,3,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Engineering & Architecture
368,Science with Computer Science,FSc Pre-Engineering,Above 80% (A-1 Grade),4,3,2,4,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Engineering & Architecture
369,Arts / Humanities,FA / Humanities,60% – 70% (B Grade),1,5,4,1,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Social Sciences & Law
370,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),5,4,3,5,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
371,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),2,5,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
372,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),4,3,1,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
373,Science with Biology,FA / Humanities,70% – 80% (A Grade),1,5,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Social Sciences & Law
374,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),4,3,3,2,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
375,Arts / Humanities,FA / Humanities,60% – 70% (B Grade),2,4,4,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
376,Science with Biology,I.Com (Commerce),70% – 80% (A Grade),3,5,2,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
377,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),4,3,2,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
378,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),4,4,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
379,Science with Biology,ICS (Intermediate in Computer Science),70% – 80% (A Grade),1,3,4,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
380,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),2,4,3,2,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
381,Science with Computer Science,FSc Pre-Engineering,70% – 80% (A Grade),3,2,2,5,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
382,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),3,3,2,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
383,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),3,3,2,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
384,Arts / Humanities,FA / Humanities,60% – 70% (B Grade),1,4,4,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
385,Science with Biology,FSc Pre-Engineering,Above 80% (A-1 Grade),5,2,2,3,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
386,Arts / Humanities,ICS (Intermediate in Computer Science),70% – 80% (A Grade),3,5,5,2,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
387,Science with Computer Science,ICS (Intermediate in Computer Science),Above 80% (A-1 Grade),4,1,1,5,Medium term (Standard 4-year Bachelor's degree),"Fieldwork/Outdoor Operations (Construction sites, manufacturing plants, traveling)",Engineering & Architecture
388,Science with Biology,I.Com (Commerce),70% – 80% (A Grade),2,5,2,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
389,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),4,4,4,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
390,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),5,3,1,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
391,Science with Computer Science,ICS (Intermediate in Computer Science),60% – 70% (B Grade),5,5,2,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
392,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),3,4,2,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
393,Science with Biology,FSc Pre-Medical,70% – 80% (A Grade),4,3,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
394,Science with Biology,FSc Pre-Engineering,70% – 80% (A Grade),1,5,2,1,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
395,Science with Biology,I.Com (Commerce),60% – 70% (B Grade),1,5,5,3,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
396,Science with Biology,FA / Humanities,60% – 70% (B Grade),2,4,5,3,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
397,Science with Biology,FSc Pre-Medical,Above 80% (A-1 Grade),2,4,1,2,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)","Clinical/Hospital Setup (Treating patients, diagnosing health issues)",Medical & Allied Health
398,Science with Computer Science,I.Com (Commerce),Below 60% (C Grade or lower),1,2,4,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Vocational & Technical
399,Science with Computer Science,ICS (Intermediate in Computer Science),70% – 80% (A Grade),5,2,2,5,Short term (1–2 years diploma/freelance tracks),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
400,Arts / Humanities,FA / Humanities,Below 60% (C Grade or lower),1,5,5,3,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Creative Arts & Media
401,Science with Computer Science,ICS (Intermediate in Computer Science),Above 80% (A-1 Grade),4,3,2,5,Medium term (Standard 4-year Bachelor's degree),Corporate/Desk Job (Working in front of a laptop inside an office),Information Technology
402,Science with Biology,FA / Humanities,70% – 80% (A Grade),2,4,3,1,"Long term (5+ years or rigorous tracks like MBBS, CA, PhD)",Corporate/Desk Job (Working in front of a laptop inside an office),Business & Finance
